,organic_globularity,organic_surface_area,organic_volume,length_est_by_volume,X_atoms_B_neighbor_percent_stdev,X_atoms_B_neighbor_percent_mean,X_atoms_H_neighbor_percent_stdev,X_atoms_H_neighbor_percent_mean,X_atoms_any_organic_neighbor_percent_stdev,X_atoms_any_organic_neighbor_percent_mean,B_atom_H_neighbor_percent,B_atom_X_neighbor_percent,B_atom_any_organic_neighbor_percent,organic_molecule_B_neighbor_percent,organic_molecule_X_neighbor_percent,organic_molecule_any_organic_neighbor_percent,B_atom_surface_area,B_atom_volume,B_atom_globularity,X_atoms_volumes_mean,X_atoms_volumes_stdev,X_atoms_surface_areas_mean,X_atoms_surface_areas_stdev,X_atoms_globularities_mean,X_atoms_globularities_stdev,contains_F,contains_Cl,contains_Br,contains_I,contains_Ge,contains_Sn,contains_Pb
1214,0.9279268053073467,100.5922455583408,84.79911742223564,2.794233255743962,0.008068373097339435,0.21031730237269278,0.01845311964308629,0.6670954959773526,0.007433428460721662,0.7835485362471696,0.2739721633458185,0.66237717670809,0.33762282329190996,0.01536328200944767,0.7625843844806502,0.22205233350990208,63.89051366267821,38.08965722779236,0.8568780120304083,38.08965722779236,0.0,49.79660948295642,0.7225912433438265,0.8568780120304083,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1215,0.9120005056089555,100.7207404779441,82.78372803350766,2.787961381153071,0.02880104579687398,0.22302569705388833,0.04250102354125007,0.6377559279873676,0.08259148449892659,0.6901885237063091,0.24426628063656752,0.7521262608113672,0.2442662806365675,0.015324534638987246,0.5842975966268288,0.40037786873418396,58.607553429493706,35.20397227102689,0.8863219881569941,35.20397227102689,0.0,49.670671116789244,0.2728886205196211,0.8863219881569941,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1216,0.9113228318832596,101.30079820018173,83.4068412986203,2.7956315153693376,0.008641083828183778,0.22305847811926127,0.021463726153389512,0.6598699676997235,0.058316817643118406,0.711994852589716,0.2455710193543308,0.7544289806456692,0.24557101935433084,0.01028422365272496,0.5963668120220256,0.39334896432524946,59.301758748039354,35.327503052350764,0.8779943548569967,35.327503052350764,0.0,50.410167322575404,0.29372912873598983,0.8779943548569967,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
1217,0.9277859003215393,98.6533917843974,82.3405343178635,2.767103630209654,0.005076797913304459,0.22275964212990118,0.006685789786208007,0.7506074382726192,0.006685789786208059,0.7506074382726192,0.2442783849487923,0.7557216150512077,0.24427838494879225,0.007243213992602603,0.7541435525967953,0.23861323341060206,62.125386275643706,36.84854394613504,0.861975895361519,52.367976396963456,21.94779185229467,64.81410496537808,1.8467699838831861,0.8784248742020991,0.02326236896353659,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1218,0.9274405847719371,98.60299638545868,82.2315186152803,2.766225143860729,0.01055298339312848,0.20861862710939025,0.003059111533545915,0.7666457023150676,0.003059111533545864,0.7666457023150676,0.27775388266563744,0.7222461173343626,0.27775388266563744,0.01142768687101656,0.786581811679172,0.20199050144981148,61.82804917326619,36.644575108693324,0.8629220877135728,51.87656151175005,21.5412817530854,64.84229266920266,1.5661802654301193,0.8845433585828951,0.030577094499137713,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1219,0.931906436662707,94.27526238448434,77.43353541761647,2.7070049230408704,0.023442572536733992,0.22401607049331584,0.054519118432345005,0.6870412591392969,0.05451911843234495,0.6870412591392968,0.2019472734242727,0.7787470889359249,0.20194727342427268,0.0018522025652033787,0.5985593754511361,0.3995884219836605,61.05705495612356,37.80734681889471,0.8922069812040414,52.61540408435656,20.941755417213614,63.65095542122208,1.005536381533374,0.9039515157266734,0.016609280005665073,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1220,0.9281874404699427,95.04890817411732,77.91987134406628,2.7162785221201173,0.01509373749450027,0.24046975796083614,0.05634553513005606,0.6646524660588637,0.05634553513005606,0.6646524660588637,0.17315519455880912,0.8268448054411909,0.1731551945588091,0.0020589483893433515,0.5727017157888721,0.4252393358217846,61.55202879931635,37.57272130295679,0.8813668885815747,50.85965934117669,18.790567976061535,63.6787408917329,0.7127588236259946,0.8982134046086189,0.023824571444181458,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1221,0.9244635331000753,95.95495136435052,78.56149833454093,2.7273661392450324,0.008269728496097365,0.24529777349680248,0.08941760793951004,0.6525751330639346,0.08941760793950998,0.6525751330639346,0.1757729705099904,0.8242270294900095,0.17577297050999047,0.00444158841226009,0.5693845020727027,0.42617390951503714,60.636898395723335,36.486750493917015,0.8773451533460177,50.2977907773001,19.531760479241516,64.42585389671179,2.1179836329983646,0.894292582387326,0.023967283997573918,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1222,0.9242019194685138,95.27030630546314,77.68919801077857,2.717490558787522,0.009407110092667577,0.2450111435132594,0.03907722709835626,0.6702365244124247,0.03907722709835631,0.6702365244124247,0.17522099217338563,0.8247790078266144,0.1752209921733856,0.0011086138957942518,0.5655541297641229,0.43333725634008285,61.85085861061641,37.581099123196516,0.8772389796945497,51.241232193644656,19.318345452048987,63.9094861122496,0.9347048798633582,0.8929804974963916,0.022261867967702312,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1223,0.9025232550747948,95.28277249038636,74.98651610203589,2.706938434137403,0.06529159687387137,0.2202058631958399,0.08728857717272298,0.7098344299412518,0.08728857717272295,0.7098344299412517,0.28656207782604487,0.7134379221739552,0.2865620778260448,0.04447990671831198,0.5815076516014192,0.37401244168026887,64.33084985583643,39.3468535240342,0.8696370867137099,52.12763501961566,18.074754528778385,63.840380571089305,2.4173112311968845,0.8878253642986446,0.025722108836821144,0.0,0.0,0.0,1.0,0.0,0.0,1.0
1224,0.9211338906401053,94.65532964094729,76.5553853732051,2.70720482343998,0.024071778294152774,0.24143937194407286,0.07347194512920506,0.6577077364985723,0.07347194512920506,0.6577077364985723,0.1888020137692562,0.8111979862307438,0.18880201376925623,0.0086099132890294,0.5553454581829418,0.43604462852802883,61.34145363452134,37.71587919856668,0.8866375009672429,50.13942483305642,17.569546729056444,63.008276970095444,0.5729082656669604,0.891932752336427,0.00748861630247466,0.0,0.0,0.0,1.0,0.0,0.0,1.0
