,file,HSE bandgap,"dielectric constant, electronic","dielectric constant, ionic","dielectric constant, total",gap type,organic molecule,refractive index,relative energy1,relative energy2,organic_surface_area,organic_volume,organic_globularity,label,organic_furthest_distance_from_center,B_atom,X_atom,B_atom_volume,B_atom_globularity,order,length_est_by_volume,X_atom_0_B_neighbor_area,X_atom_0_B_neighbor_percent,X_atom_1_B_neighbor_area,X_atom_1_B_neighbor_percent,X_atom_2_B_neighbor_area,X_atom_2_B_neighbor_percent,X_atoms_B_neighbor_percent_stdev,X_atoms_B_neighbor_percent_mean,X_atom_0_H_neighbor_area,X_atom_0_H_neighbor_percent,X_atom_1_H_neighbor_area,X_atom_1_H_neighbor_percent,X_atom_2_H_neighbor_area,X_atom_2_H_neighbor_percent,X_atoms_H_neighbor_percent_stdev,X_atoms_H_neighbor_percent_mean,X_atom_0_any_organic_neighbor_area,X_atom_0_any_organic_neighbor_percent,X_atom_1_any_organic_neighbor_area,X_atom_1_any_organic_neighbor_percent,X_atom_2_any_organic_neighbor_area,X_atom_2_any_organic_neighbor_percent,X_atoms_any_organic_neighbor_percent_stdev,X_atoms_any_organic_neighbor_percent_mean,B_atom_H_neighbor_percent,B_atom_X_neighbor_percent,B_atom_any_organic_neighbor_percent,organic_molecule_B_neighbor_percent,organic_molecule_X_neighbor_percent,organic_molecule_any_organic_neighbor_percent,X_atoms_volumes_mean,X_atoms_volumes_stdev,B_atom_surface_area,X_atoms_surface_areas_mean,X_atoms_surface_areas_stdev,X_atoms_globularities_mean,X_atoms_globularities_stdev,contains_F,contains_Cl,contains_Br,contains_I,contains_Ge,contains_Sn,contains_Pb
646,653,4.2643,3.3129,21.0657,24.3786,indirect,C3H6N2,1.8201,-0.0756,0.1762,102.3861684,81.36511104,0.886886802,Azetidinium Tin Chloride,3.418601317,Sn,Cl,35.18607115,0.875526512,13,2.797865263,9.935306105,0.248849316,8.732895868,0.206084078,10.90896267,0.265854771,0.025145326,0.240262722,27.7245235,0.694415314,28.1834076,0.665088837,27.61298887,0.672937021,0.012396027,0.677480391,27.7245235,0.694415314,28.1834076,0.665088837,28.24369556,0.688307537,0.012633532,0.682603896,0.2897316,0.7102684,0.2897316,0.011808042,0.493386278,0.49480568,50.59626436,21.79330423,59.31008574,41.11131093,1.001887884,0.879470781,0.005578039,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
647,654,4.2639,3.3064,16.6114,19.9178,indirect,C3H6N2,1.8184,-0.0758,0.176,102.473895,81.48655464,0.887009073,Azetidinium Tin Chloride,3.420250941,Sn,Cl,35.32649407,0.876220039,9,2.799127952,10.13840222,0.253644111,8.668646227,0.20441617,10.91784352,0.265615987,0.026482979,0.241225423,27.79671544,0.695422517,28.45584214,0.671019918,27.36536902,0.665761467,0.012922487,0.6774013,27.79671544,0.695422517,28.45584214,0.671019918,28.17126463,0.685367789,0.010013579,0.683936741,0.297319045,0.702680955,0.297319045,0.013326553,0.496269035,0.490404413,50.67269973,21.70281217,59.4207114,41.1605634,0.995250705,0.879775627,0.005028361,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
648,655,4.2417,3.3039,16.0962,19.4001,indirect,C3H6N2,1.8177,-0.076,0.1758,102.8411145,81.86879913,0.886603635,Azetidinium Tin Chloride,3.438159167,Sn,Cl,35.150619,0.871238348,7,2.803925202,10.00788327,0.250315478,8.573586371,0.201757809,10.77853108,0.260181878,0.02553552,0.237418389,27.91298403,0.698154821,28.56611847,0.672231809,27.84878693,0.672239069,0.012218514,0.680875233,27.91298403,0.698154821,28.56611847,0.672231809,28.49695702,0.687885181,0.010658831,0.686090604,0.297801062,0.702198938,0.297801062,0.018114697,0.492352299,0.489533004,50.59593088,21.84296954,59.56196326,41.30081198,1.029944125,0.876495256,0.007434391,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
649,656,4.2971,3.2949,11.5718,14.8667,indirect,C3H6N2,1.8152,-0.0757,0.1761,102.328649,81.36115435,0.887356557,Azetidinium Tin Chloride,3.418993052,Sn,Cl,35.48700339,0.87729822,11,2.797326113,10.09900744,0.252271216,8.647792643,0.204081808,10.92852472,0.265944478,0.026533348,0.240765834,27.81186718,0.694734962,28.58528546,0.67459258,27.55586227,0.670568956,0.010571981,0.679965499,27.81186718,0.694734962,28.58528546,0.67459258,28.16948679,0.685501443,0.008232569,0.684942995,0.301246429,0.698753571,0.301246429,0.011779292,0.498108563,0.490112145,50.94760197,21.86458819,59.52731665,41.16658188,0.957443251,0.880400025,0.004386615,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
650,657,4.2391,3.3076,12.774,16.0816,indirect,C3H6N2,1.8187,-0.0758,0.176,102.9507493,82.20318721,0.888069445,Azetidinium Tin Chloride,3.444238596,Sn,Cl,34.65408241,0.867474982,8,2.806191874,10.0755109,0.251974721,8.855329593,0.207472506,10.81806626,0.260214692,0.023166265,0.239887306,27.77094185,0.6945132,27.955261,0.65496693,28.11260863,0.6762127,0.016159615,0.675230943,27.78551854,0.694877743,27.955261,0.65496693,28.7915705,0.692544256,0.018288957,0.68079631,0.279465734,0.720534266,0.279465734,0.019115384,0.477243969,0.503640647,50.22310639,22.01792487,59.25567907,41.41391942,1.106311764,0.874102174,0.009372264,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
651,658,3.9654,3.4554,10.1482,13.6035,indirect,C3H6N2,1.8589,-0.0699,0.1819,99.25835173,79.90103063,0.903826764,Azetidinium Tin Chloride,3.418613723,Sn,Cl,33.61489252,0.86719254,14,2.763498169,9.682135594,0.238585227,10.62989311,0.244144228,10.35197421,0.251265453,0.00518976,0.24466497,29.01180018,0.714902913,24.43637805,0.561247474,28.64829524,0.695357884,0.068294789,0.657169424,29.38273594,0.724043437,24.43637805,0.561247474,28.746991,0.69775345,0.071357917,0.661014787,0.226035563,0.773964437,0.226035563,0.007404126,0.483025231,0.509570644,49.81099075,22.90474177,58.08396927,41.77340258,1.273972489,0.874151508,0.009841468,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
652,659,3.9311,3.0149,4.4133,7.4282,indirect,C3H6N2,1.7363,-0.0645,0.1873,103.0090754,80.56382576,0.875726652,Azetidinium Tin Chloride,3.507935766,Sn,Cl,38.56012006,0.828325864,15,2.800446571,10.05438974,0.209636362,8.786883923,0.196434132,11.7226016,0.268004303,0.031097347,0.224691599,34.69610017,0.723421751,29.63643749,0.662533831,28.37179141,0.648641185,0.032476449,0.678198922,34.83861344,0.726393186,29.63643749,0.662533831,28.37179141,0.648641185,0.033856554,0.6791894,0.337555995,0.656518566,0.343481434,0.064982376,0.482414699,0.452602924,52.34042358,19.48829214,66.63591491,45.47780186,1.802014969,0.853492831,0.035591465,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
653,660,4.125,2.9697,2.3085,5.2782,indirect,C3H6N2,1.7233,-0.0582,0.1936,100.6154187,81.33181066,0.90224903,Azetidinium Tin Chloride,3.357240317,Sn,Cl,40.33127584,0.864146538,16,2.781515337,8.953243975,0.208411052,8.119881995,0.171902231,8.065223431,0.183547657,0.015226798,0.187953647,32.21325391,0.74985091,34.40973261,0.728472385,28.33849431,0.644925001,0.045272819,0.707749432,32.21325391,0.74985091,34.40973261,0.728472385,28.33849431,0.644925001,0.045272819,0.707749432,0.409212083,0.590787917,0.409212083,0.064458722,0.554389229,0.381152049,53.74212582,18.96580592,65.81495393,44.71192346,1.828823984,0.868006576,0.005458918,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
654,661,3.162,3.5135,14.7215,18.235,indirect,C3H5N2,1.8744,0.1027,0.3905,101.6229135,85.76838947,0.925501649,Imidazolium Tin Chloride,3.548244512,Sn,Cl,36.30350299,0.865540202,4,2.807286944,9.136198155,0.225912228,9.001261202,0.220346185,7.764856749,0.169868442,0.025209983,0.205375618,30.69677297,0.759043997,30.83620124,0.754854143,24.36476545,0.533017527,0.105576199,0.682305222,30.7784656,0.761064024,31.16697237,0.762951248,37.40111944,0.818208254,0.026504426,0.780741175,0.338986997,0.609777366,0.390222634,0.023010537,0.733086702,0.243902761,36.30350299,0,61.2579482,42.33430225,2.393523917,0.865540202,0,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
655,662,3.6688,3.5306,4.9338,8.4643,indirect,C3H5N2,1.879,0.0992,0.3869,99.12768458,82.11419999,0.92165394,Imidazolium Tin Chloride,3.461278611,Sn,Cl,34.67286415,0.87076762,1,2.770683471,8.31769228,0.202959092,8.857765391,0.216860574,8.08823427,0.18905399,0.01135199,0.202957885,28.54769908,0.696589258,27.58135113,0.675261465,27.07784153,0.632916137,0.026462275,0.66825562,32.07571715,0.782676037,31.30818671,0.766503857,33.6467753,0.786458072,0.008653926,0.778545989,0.294204931,0.613234816,0.386765184,0.044381116,0.696014651,0.259604233,34.67286415,0,59.05294258,41.53674011,0.882769819,0.87076762,1.11E-16,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE
